seed,sample,ranking_score
2,0,1.0069398884979972
2,1,1.0090356536727545
2,2,1.0074077853684151
2,3,1.006991745799211
2,4,1.0053314597303098
3,0,1.019510308492535
3,1,1.021501365591389
3,2,1.02685174661812
3,3,1.0238775129750601
3,4,1.0211659289076227
4,0,1.0240919547358085
4,1,1.0150897300743442
4,2,1.0211525249097404
4,3,1.024312357138841
4,4,1.0166147996622903
5,0,1.0280690741381162
5,1,1.0157631649966696
5,2,0.9953881144861537
5,3,1.0022700707700167
5,4,1.0209501724719146
6,0,1.026802533026365
6,1,1.0124225187550224
6,2,1.019480534036801
6,3,1.0153083413906878
6,4,1.0141846579915612
