seed,sample,ranking_score
2,0,0.783133987489374
2,1,0.7415588515008931
2,2,0.7604662563406105
2,3,0.7835369272941778
2,4,0.7948344767992942
3,0,0.6849703934068133
3,1,0.6950493766823876
3,2,0.6813506464892487
3,3,0.6825970395331817
3,4,0.6840292112581227
4,0,0.7594312423428006
4,1,0.8348679070276693
4,2,0.7911000124359285
4,3,0.8322210429491342
4,4,0.8472626094847404
5,0,0.7330575566838781
5,1,0.7791886005683133
5,2,0.7104333593195734
5,3,0.7737165040933597
5,4,0.765919051703048
6,0,0.8072078778142847
6,1,0.8156699411473746
6,2,0.7961578751391182
6,3,0.8391663363579664
6,4,0.8261871310261851
